video,tl,br,length,width,height
FAD01_OF,"[103, 86]","[398,407]",1357.08,418.0,444.0
FAD02_OF,"[24,69]","[324,401]",1357.08,438.0,440.0
FAD03_OF,"[22,76]","[319,405]",1194.64,416.0,432.0
FAD04_OF,"[92,77]","[387,396]",1194.64,404.0,422.0
FAD09_remapped,"[102,98]","[395,384]",1192.2,410.0,404.0
FAD10_remapped,"[18,87]","[309,384]",1192.2,410.0,404.0
FAD11_remapped,"[96,27]","[395,309]",1192.2,410.0,404.0
FAD12_remapped,"[16,25]","[298,302]",1192.2,400.0,404.0
FAD13_remapped,"[102,92]","[389,387]",1211.26,410.0,402.0
FAD15_remapped,"[98,20]","[394,200]",1211.26,410.0,402.0
FAD16_remapped,"[14,18]","[298,293]",1211.26,410.0,402.0
FAD17_OF,"[90,96]","[369,396]",1189.64,384.0,410.0
FAD18_OF,"[8,97]","[302,398]",1189.64,390.0,410.0
FAD19_OF,"[83,17]","[374,307]",1189.64,390.0,410.0
FAD20_OF,"[12,25]","[296,304]",1189.64,390.0,410.0
FAD06_OF,"[98,90]","[384,389]",1181.88,404.0,402.0
FAD05_OF,"[20,81]","[305,290]",1181.88,404.0,402.0
FAD08_OF,"[86,14]","[380,297]",1181.88,392.0,390.0
FAD07_OF,"[20,14]","[297,297]",1181.88,396.0,400.0
